,Term,Unbound_no_scaling,Unbound_Error_no_scaling,Unbound_scaling,Unbound_Error_scaling,Bound_no_scaling,Bound_Error_no_scaling,Bound_scaling,Bound_Error_scaling,Difference_no_scaling, Difference_no_scaling,Difference_scaling, Difference_no scaling, Difference_Error_no_scaling, Difference_Error_scaling
0,Polymer_Transvibrational,50.17,0.13,67.59301,0.16719629202427377,55.38,2.21,67.57494,0.14733774013017398,5.210000000000001,2.213820227570432,-0.01807000000000869,0.22285199064251796,2.213820227570432,0.22285199064251796
1,Polymer_Rovibrational,46.0,0.13,63.367455,0.13455371480069403,50.64,1.92,63.26374500000001,0.1626265639432871,4.640000000000001,1.9243960091415695,-0.10370999999999242,0.21107368729111298,1.9243960091415695,0.21107368729111298
2,Residue_Transvibrational,2893.93,50.81,2892.311885,13.387961350251704,1983.69,8.88,2903.5503400000002,17.051750621704475,-910.2399999999998,51.58013668070297,11.238455000000158,21.67947666297857,51.58013668070297,21.67947666297857
3,Residue_Rovibrational,2990.47,102.26,4874.55209,51.588827482310506,2833.1,4.41,4844.6646200000005,61.84970999173989,-157.3699999999999,102.35504726196946,-29.887469999999666,80.54063413620435,102.35504726196946,80.54063413620435
4,UA_Transvibrational,2365.79,0.0,2459.82335,5.417121013047435,2479.36,0.0,2509.0160499999997,20.486248762930373,113.57000000000016,0.0,49.192699999999604,21.190365462791487,0.0,21.190365462791487
5,UA_Rovibrational,896.75,0.0,3956.9274,4.46390202924153,908.48,0.0,3970.11425,10.720981815269209,11.730000000000018,0.0,13.18685000000005,11.613176671781055,0.0,11.613176671781055
6,Topographical_1_side_chain,0.0,0.0,1012.09305,32.10275929028531,0.0,0.0,883.5467,49.687172393821456,0.0,0.0,-128.54634999999996,59.15574574412305,0.0,59.15574574412305
7,Topographical_1_backbone,0.0,0.0,38.1596,2.5651425431477812,0.0,0.0,33.73435,1.1481560245309288,0.0,0.0,-4.425249999999998,2.8103769361659183,0.0,2.8103769361659183
8,Topographical_2_side_chain,0.0,0.0,491.7357,11.408265923443402,0.0,0.0,432.66055,19.231819708926835,0.0,0.0,-59.07515000000001,22.360935148080607,0.0,22.360935148080607
9,Topographical_2_backbone,0.0,0.0,18.6421,1.089920339596737,0.0,0.0,16.20325,0.6684669849738281,0.0,0.0,-2.4388499999999986,1.2785829877902593,0.0,1.2785829877902593
10,Topographical_3,0.0,0.0,412.20715,0.20200297027519187,0.0,0.0,361.72075,20.619371513781235,0.0,0.0,-50.4864,20.620360977037553,0.0,20.620360977037553
